No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
1;0;;0;0,000212;0,000212;;0,017784;-0,017996;-0,03578
2;0,000212;;0,000212;0,018208;0,017996;;-0,017996;0,000548;0,018544
3;0,018208;;0,018208;0,018208;0;;0,000548;0,042372;0,041824
4;0,018208;;0,018208;0,018756;0,000548;;0,042372;-0,042316;-0,084688
5;0,018756;;0,018756;0,061676;0,04292;;-0,042316;-0,000431;0,041885
6;0,061676;;0,061676;0,06228;0,000604;;-0,000431;-0,000173;0,000258
7;0,06228;;0,06228;0,062453;0,000173;;-0,000173;0,000488;0,000661
8;0,062453;;0,062453;0,062453;0;;0,000488;0,000702;0,000214
9;0,062453;;0,062453;0,062941;0,000488;;0,000702;-0,000439;-0,001141
10;0,062941;;0,062941;0,064131;0,00119;;-0,000439;-0,000751;-0,000312
11;0,064131;;0,064131;0,064882;0,000751;;-0,000751;0;0,000751
12;0,064882;;0,064882;0,064882;0;;0;0;0
13;0,064882;;0,064882;0,064882;0;;0;0,000155;0,000155
14;0,064882;;0,064882;0,064882;0;;0,000155;0,000161;6E-06
15;0,064882;;0,064882;0,065037;0,000155;;0,000161;0,00011;-5,1E-05
16;0,065037;;0,065037;0,065353;0,000316;;0,00011;0,000337;0,000227
17;0,065353;;0,065353;0,065779;0,000426;;0,000337;-0,000763;-0,0011
18;0,065779;;0,065779;0,066542;0,000763;;-0,000763;0,000633;0,001396
19;0,066542;;0,066542;0,066542;0;;0,000633;0,01392;0,013287
20;0,066542;;0,066542;0,067175;0,000633;;0,01392;1,025654;1,011734
21;0,067175;;0,067175;0,081728;0,014553;;1,025654;-1,022713;-2,048367
22;0,081728;;0,081728;1,121935;1,040207;;-1,022713;0,0089;1,031613
23;1,121935;;1,121935;1,139429;0,017494;;0,0089;-0,024803;-0,033703
24;1,139429;;1,139429;1,165823;0,026394;;-0,024803;-0,001245;0,023558
25;1,165823;;1,165823;1,167414;0,001591;;-0,001245;0,003295;0,00454
26;1,167414;;1,167414;1,16776;0,000346;;0,003295;-0,003641;-0,006936
27;1,16776;;1,16776;1,171401;0,003641;;-0,003641;0,000288;0,003929
28;1,171401;;1,171401;1,171401;0;;0,000288;0,03859;0,038302
29;1,171401;;1,171401;1,171689;0,000288;;0,03859;1,947951;1,909361
30;1,171689;;1,171689;1,210567;0,038878;;1,947951;-1,969507;-3,917458
31;1,210567;;1,210567;3,197396;1,986829;;-1,969507;0,008477;1,977984
32;3,197396;;3,197396;3,214718;0,017322;;0,008477;-0,022631;-0,031108
33;3,214718;;3,214718;3,240517;0,025799;;-0,022631;-0,002847;0,019784
34;3,240517;;3,240517;3,243685;0,003168;;-0,002847;0,00195;0,004797
35;3,243685;;3,243685;3,244006;0,000321;;0,00195;-0,002271;-0,004221
36;3,244006;;3,244006;3,246277;0,002271;;-0,002271;0,000276;0,002547
37;3,246277;;3,246277;3,246277;0;;0,000276;0,039457;0,039181
38;3,246277;;3,246277;3,246553;0,000276;;0,039457;0,693496;0,654039
39;3,246553;;3,246553;3,286286;0,039733;;0,693496;0,117752;-0,575744
40;3,286286;;3,286286;4,019515;0,733229;;0,117752;-0,850981;-0,968733
41;4,019515;;4,019515;4,870496;0,850981;;-0,850981;0;0,850981
42;4,870496;;4,870496;4,870496;0;;0;6,2E-05;6,2E-05
43;4,870496;;4,870496;4,870496;0;;6,2E-05;-2,5E-05;-8,7E-05
44;4,870496;;4,870496;4,870558;6,2E-05;;-2,5E-05;0,000188;0,000213
45;4,870558;;4,870558;4,870595;3,7E-05;;0,000188;0,128709;0,128521
46;4,870595;;4,870595;4,87082;0,000225;;0,128709;-0,128883;-0,257592
47;4,87082;;4,87082;4,999754;0,128934;;-0,128883;-2,6E-05;0,128857
48;4,999754;;4,999754;4,999805;5,1E-05;;-2,6E-05;-1,1E-05;1,5E-05
49;4,999805;;4,999805;4,99983;2,5E-05;;-1,1E-05;-8,88178E-16;1,1E-05
50;4,99983;;4,99983;4,999844;1,4E-05;;-8,88178E-16;0,00029;0,00029
51;4,999844;;4,999844;4,999858;1,4E-05;;0,00029;-0,000276;-0,000566
52;4,999858;;4,999858;5,000162;0,000304;;-0,000276;-1E-05;0,000266
